692861289a1d6a3ad63b5028012a65db4e78ad2e,taskName,taskNumber,taskURL,name,response,serial,latency,pristineLatency,declined,submitLatency
692861289a1d6a3ad63b5028012a65db4e78ad2e,consent,1,consent.jst,,,,,,,
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioVideoStart,2,,,,,,,,
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioVideoMain,3,,,,,,,,
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,4,socioQuestionsMain.js,,,,,,,
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,fullName,בני,0,5155.79999999702,2957.699999999255,,18351.5
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,sex,2,1,7406.199999999255,7406.199999999255,,18347.199999999255
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,age,53,2,10345.400000002235,8353.10000000149,,18337.5
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,countryBirth,יכע,3,11473.199999999255,11300.5,,18331.599999997765
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,countryBirthOfParents,עיכי,4,12265.699999999255,11970.89999999851,,18326.699999999255
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,education,1,5,12616.199999999255,12616.199999999255,,18324.5
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,currentOccupation,עיכי,6,13723.29999999702,13466.29999999702,,18317.099999997765
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,currentOccupationInYears,5,7,14288,14288,,18309.599999997765
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,familyStatus,1,8,15018.099999997765,15018.099999997765,,18306.599999997765
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,numberOfChildren,5,9,16759,16759,,18301.400000002235
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,ministryOfDefenceBelongs,1,10,17605.20000000298,17605.20000000298,,18298.900000002235
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioQuestionsMain,,,religionStatus,1,11,18097.699999999255,18097.699999999255,,18296.199999999255
692861289a1d6a3ad63b5028012a65db4e78ad2e,instimages,5,instimages.jst,,,,,,,
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,6,socioRateImagesSizes.js,,,,,,,
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people3,2,12,1698.699999999255,1698.699999999255,,2413.800000000745
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people33,4,13,2227.699999999255,2227.699999999255,,2410.800000000745
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people1,2,14,901.7000000029802,901.7000000029802,,2659.300000000745
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people11,7,15,2471,2471,,2656.199999999255
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people6,,16,,,true,1121.5
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people66,,17,,,true,1118
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people4,,18,,,true,851.8000000007451
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people44,,19,,,true,848.3000000007451
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people8,,20,,,true,670.5
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people88,,21,,,true,667.5999999977648
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people5,,22,,,true,723
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people55,,23,,,true,720.1000000014901
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people2,,24,,,true,725.6000000014901
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people22,,25,,,true,722.8000000007451
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people7,,26,,,true,773.1999999992549
692861289a1d6a3ad63b5028012a65db4e78ad2e,socioRateImagesSizes,,,people77,,27,,,true,769.6999999992549
692861289a1d6a3ad63b5028012a65db4e78ad2e,instiat,7,instiat_weight.jst,,,,,,,
692861289a1d6a3ad63b5028012a65db4e78ad2e,namelessTask,8,,,,,,,,
